source_id,ra,e_ra,dec,e_dec,plx,e_plx,pmra,e_pmra,pmde,e_pmde,ruwe,Gmag,BPmag,RPmag,e_Gmag,e_BPmag,e_RPmag,SrcID,Jap3,e_Jap3,Hap3,e_Hap3,Ksap3,e_Ksap3,TMASS,Jmag,Hmag,Ksmag,e_Jmag,e_Hmag,e_Ksmag,Qflag,Rflag,Xflag,Catalogue,BPRP_excess
5514371153432613632,122.69215568167,0.1735,-49.10785503013,0.2006,2.8051,0.2076,-8.763,0.237,4.708,0.249,1.03,19.210064,21.59434,17.966635,0.003959,0.188227,0.019764,472830623850,15.8722,0.0104,-9,-9,15.0663,0.0195,08104614-4906283,16.143,15.45,15.03,0.095,0.091,0.123,AAB,222,0,J05,1.404
5514363383842195328,122.28358366706,0.2701,-49.36650055718,0.2819,2.6,0.3102,-8.241,0.4,4.559,0.35,1.044,19.8006,21.556408,18.413433,0.005003,0.118329,0.023216,472830650449,16.155,0.0141,-9,-9,15.3642,0.028,08090806-4921595,16.283,15.278,15.468,0.095,0.086,0.184,AAC,222,0,J05,1.654
5514364861310955008,122.34799167233,0.1267,-49.27420183289,0.1432,2.4103,0.1595,-8.779,0.167,3.773,0.167,0.974,18.838865,20.607944,17.548187,0.003491,0.118579,0.014656,472830641489,15.5176,0.0089,-9,-9,14.6991,0.0144,08092353-4916271,15.537,14.923,14.675,0.066,0.077,0.088,AAA,222,0,J05,1.524
5514366063900874752,122.5190978909,0.1186,-49.19411362062,0.1266,2.535,0.1373,-8.587,0.153,3.933,0.163,1.062,18.629501,20.407368,17.354755,0.003443,0.085527,0.012486,472830633020,15.3867,0.007,-9,-9,14.5422,0.0123,08100459-4911388,15.308,14.784,14.601,0.041,0.058,0.094,AAA,222,0,J05,1.503
5514370839904590464,122.70739461872,0.109,-49.13881896813,0.1224,2.5179,0.1267,-8.104,0.143,4.812,0.155,1.037,18.440882,20.23368,17.167658,0.003375,0.093143,0.009534,472830627060,15.2286,0.0061,-9,-9,14.4448,0.0114,08104978-4908197,15.245,14.714,14.414,0.05,0.058,0.075,AAA,222,0,J05,1.499
5514348162477981440,122.57437079374,0.1878,-49.43734383272,0.2137,2.656,0.2235,-8.499,0.265,4.846,0.256,1.04,19.355919,20.825415,18.021519,0.004259,0.106022,0.017267,472830657225,15.9446,0.0112,-9,-9,15.1146,0.0208,08101787-4926144,16.007,15.502,15.002,0.093,0.091,0.14,AAB,222,0,J05,1.626
5514366029542062336,122.50762489807,0.2559,-49.216281408,0.272,2.4554,0.297,-8.421,0.335,4.809,0.335,1.01,19.790827,21.060587,18.432592,0.004825,0.253843,0.02568,472830635393,16.2468,0.0143,-9,-9,15.4372,0.0269,08100178-4912585,16.323,15.573,15.588,0.094,0.111,0.205,ABC,222,0,J05,1.696
5514362353048880640,122.43435221909,0.2349,-49.31211325217,0.235,1.9467,0.2581,-8.581,0.333,5.174,0.309,1.482,19.003061,20.748386,17.553425,0.004818,0.090946,0.010626,472830645209,15.5302,0.009,-9,-9,14.7213,0.0147,08094425-4918437,15.509,15.126,14.879,0.061,0.074,0.095,AAB,222,0,J05,1.745
5514366308719592704,122.48347166015,0.1262,-49.18780846996,0.1337,2.4598,0.1471,-8.327,0.163,4.451,0.167,0.921,18.785631,20.628489,17.464039,0.003328,0.10019,0.009674,472830632504,15.4476,0.0073,-9,-9,14.6213,0.0131,08095604-4911161,15.463,15.029,14.556,0.058,0.071,0.082,AAA,222,0,J05,1.555
5514370874267144320,122.72072403524,0.1151,-49.12117643644,0.1353,2.3841,0.1372,-8.566,0.156,4.565,0.192,0.962,18.61264,20.238829,17.216251,0.004204,0.098234,0.010164,472830625267,15.1128,0.0056,-9,-9,14.3073,0.0101,08105297-4907162,15.208,14.605,14.174,0.049,0.05,0.074,AAA,222,0,J05,1.685
5514368267224743296,122.72306821501,0.101,-49.19525636907,0.1283,2.7111,0.1176,-8.841,0.128,4.46,0.16,1.019,18.22105,19.92418,16.997635,0.003293,0.049215,0.007709,472830633133,15.1613,0.0058,-9,-9,14.3614,0.0106,08105354-4911429,15.217,14.703,14.238,0.052,0.063,0.077,AAA,222,0,J05,1.45
