recno   BouyID                SarroID   pc         pemb       s_pc       s_pemb     MissingCI   _RA        _DE        ra_epoch2000     dec_epoch2000    errHalfMaj   errHalfMin   errPosAng   source_id           ra               ra_error   dec              dec_error   parallax   parallax_error   parallax_over_error   pm       pmra     pmra_error   pmdec     pmdec_error   astrometric_n_good_obs_al   astrometric_gof_al   astrometric_chi2_al   astrometric_excess_noise   astrometric_excess_noise_sig   astrometric_params_solved   pseudocolour   pseudocolour_error   visibility_periods_used   ruwe     duplicated_source   phot_g_mean_flux   phot_g_mean_flux_error   Gmag   phot_bp_mean_flux   phot_bp_mean_flux_error   BPmag   phot_rp_mean_flux   RPmag   BPRP_excess   bp_rp      dr2_radial_velocity   dr2_radial_velocity_error   dr2_rv_nb_transits   dr2_rv_template_teff   dr2_rv_template_logg   panstarrs1           sdssdr13   skymapper2   urat1       e_g   e_bp   e_rp   phot_g_mean_mag_corrected   phot_g_mean_mag_error_corrected   phot_g_mean_flux_corrected   phot_bp_rp_excess_factor_corrected   ra_epoch2000_error   dec_epoch2000_error   ra_dec_epoch2000_corr   angDist    2MASS              RAJ2000     DEJ2000     errHalfMaj_x   errHalfMin_x   errPosAng_x   Jmag     Hmag     Kmag     e_Jmag   e_Hmag   e_Kmag   Qfl   Rfl   X   MeasureJD      angDist_x  
  933     J034557.09+242100.8   5157072   0.995383   0.703747   9.14E-4    0.067631   0           56.48787   24.35022   56.48785132125   24.35029028234   0.0027435    0.0015692    92.13       65280036863012864   56.48794486728   0.1259     24.35009571164   0.0786      7.1053     0.1285           55.2941               47.794   19.175   0.169        -43.778   0.1           234                         -0.1546              406.31                0.553                      4.963                          95                          1.125          0.0314               14                        0.991    false               2114.05            2.95259                  17.37458          263.989             16.0914                   19.284576          3244.82             15.969918          1.66                       3.314658   -9                    -9                          0                    -9                     -9                     137220564878930716   -9         -9           572028911   0.003145                0.066239                 0.00831                  17.348989                   0.003128                          2164.47                      0.133                                2.7422               1.5714                -0.0437                 0.260327   03455707+2421011   56.487825   24.350311   0.09           0.07           0.0           13.848   13.195   12.893   0.032    0.032    0.026    AAA   222   0   2451530.715    0.359311   
  721     J034603.46+242056.9   5157066   0.997548   0.05063    3.7E-4     0.013949   0           56.51442   24.34914   56.51439098227   24.34920802379   0.00138      8.306E-4     95.77       65280071222749824   56.51448084263   0.0596     24.34902212732   0.0409      6.7374     0.0616           109.3133              45.703   18.42    0.085        -41.827   0.053         275                         2.5445               347.38                0.14                       0.8768                         31                          -9             -9                   16                        1.11     false               4469.98            5.08523                  16.561602         680.419             16.5491                   18.256601          5973.1              15.307397          1.488                      2.949204   -9                    -9                          0                    -9                     -9                     137210565144259425   -9         -9           572028942   0.00302                 0.026554                 0.005945                 16.561602                   0.00302                           4469.98                      0.015                                1.3756               0.838                 -0.1054                 0.262729   03460344+2420572   56.514364   24.349228   0.09           0.07           0.0           13.503   12.882   12.611   0.029    0.035    0.028    AAA   222   0   2451530.715    0.366191   
  430     J034513.15+241523.5   5152303   0.99884    0.001263   1.2E-4     2.78E-4    0           56.30479   24.25653   56.30473754264   24.25661560272   0.0021908    0.0013808    73.79       65280552259109760   56.30484671502   0.0989     24.25640873706   0.0733      7.8303     0.1247           62.8021               51.652   22.395   0.133        -46.545   0.093         214                         2.6334               283.03                0.344                      2.612                          31                          -9             -9                   16                        1.13     false               2488.85            3.28514                  17.197369         332.219             11.9745                   19.03498           3421.75             15.912276          1.508                      3.122705   -9                    -9                          0                    -9                     -9                     137100563048158283   -9         -9           572028729   0.003106                0.039234                 0.006308                 17.197369                   0.003106                          2488.85                      0.009                                2.1388               1.4601                0.2483                  0.353005   03451313+2415238   56.304733   24.256622   0.07           0.06           0.0           14.032   13.405   13.195   0.029    0.035    0.034    AAA   222   0   2451530.7054   0.380386   
  1231    J034532.95+241811.3   5156983   0.98575    0.041488   0.003253   0.011149   0           56.38729   24.30314   56.3872435448    24.30323502313   3.683E-4     2.376E-4     73.58       65281166437426176   56.38734232753   0.0164     24.30303428798   0.0124      7.5227     0.0179           419.4422              49.5     20.256   0.022        -45.165   0.016         236                         4.4886               443.69                0.087                      6.934                          31                          -9             -9                   15                        1.214    false               119992.0           391.154                  12.989489         43703.8             508.531                   13.737245          109954.0            12.144871          1.281                      1.592374   4.96                  10.76                       8                    4000.0                 3.0                    137160563873194277   -9         -9           572028798   0.004485                0.012938                 0.008519                 12.989489                   0.004485                          119992.0                     -0.001                               0.3596               0.2505                0.2384                  0.374503   03453293+2418116   56.387224   24.303244   0.08           0.06           90.0          11.084   10.416   10.235   0.026    0.033    0.019    AAA   222   0   2451530.7064   0.432512   
  911     J034530.23+241845.2   3965430   0.995767   0.233755   6.1E-4     0.038259   1           56.37596   24.31256   56.37593722158   24.31265491762   5.272E-4     3.377E-4     73.56       65281239453865856   56.37602962224   0.0238     24.31244491566   0.0184      7.3388     0.0265           276.5021              50.907   18.946   0.032        -47.25    0.023         229                         1.5356               251.24                0.049                      0.6733                         31                          -9             -9                   16                        1.072    false               27042.4            35.2273                  14.607255         6477.27             66.3189                   15.810062          30927.1             13.522047          1.383                      2.288015   -9                    -9                          0                    -9                     -9                     137170563759875536   -9         -9           572028791   0.003097                0.011461                 0.005159                 14.607255                   0.003097                          27042.4                      0.008                                0.5146               0.3566                0.2425                  0.34978    03453021+2418455   56.375909   24.312662   0.08           0.06           90.0          12.071   11.376   11.143   0.027    0.03     0.019    AAA   222   0   2451530.7064   0.403523   
  403     J034524.79+242045.1   5157061   0.998924   0.186264   1.02E-4    0.032815   0           56.35329   24.34586   56.35326403064   24.34596301381   0.0011751    7.265E-4     73.09       65282098447322752   56.3533599732    0.0524     24.34576961905   0.0391      6.9753     0.0589           118.416               47.752   19.667   0.071        -43.514   0.049         227                         0.5877               243.98                0.11                       0.7572                         31                          -9             -9                   16                        1.027    false               6168.77            6.94338                  16.211872         1026.34             28.0485                   17.810318          8166.99             14.96774           1.49                       2.842578   -9                    -9                          0                    -9                     -9                     137210563533215525   -9         -9           572028768   0.003014                0.029803                 0.005094                 16.211872                   0.003014                          6168.77                      0.033                                1.144                0.7746                0.2678                  0.380506   03452477+2420454   56.353233   24.345968   0.08           0.06           90.0          13.165   12.539   12.253   0.026    0.033    0.018    AAA   222   0   2451530.7064   0.431412   
  984     J034549.37+242507.1   5237595   0.994446   0.104438   7.86E-4    0.036465   0           56.45571   24.41864   56.45567675863   24.41869625402   9.632E-4     5.63E-4      85.65       65284228751087872   56.45577051741   0.0435     24.41850610979   0.0291      7.261      0.0459           158.3102              46.897   19.209   0.059        -42.782   0.036         191                         1.9447               231.62                0.113                      1.485                          31                          -9             -9                   15                        1.101    false               11841.3            13.0677                  15.503866         2240.34             32.0249                   16.962757          14847.9             14.318729          1.443                      2.644028   -9                    -9                          0                    -9                     -9                     137300564557192805   -9         -9           573029525   0.003005                0.015769                 0.005183                 15.503866                   0.003005                          11841.3                      0.015                                0.9614               0.5661                0.085                   0.229968   03454935+2425073   56.455655   24.418707   0.09           0.07           0.0           12.695   12.036   11.803   0.031    0.031    0.024    AAA   222   0   2451530.715    0.301134   
  256     J034535.70+242434.1   5237576   0.99926    9.0E-6     8.3E-5     5.0E-6     0           56.39875   24.40947   56.39871497505   24.40955855371   0.0060313    0.0036331    86.23       65284327535890176   56.39881817324   0.2641     24.4093641179    0.1853      7.6927     0.2871           26.7982               48.59    21.144   0.375        -43.748   0.233         219                         -2.1978              255.3                 0.34                       0.3006                         95                          0.9929         0.065                16                        0.894    false               537.613            1.64659                  18.861193         90.3527             22.3985                   20.448689          829.581             17.450748          1.711                      2.99794    -9                    -9                          0                    -9                     -9                     137290563987781839   -9         -9           573029461   0.004319                0.269169                 0.030569                 18.83563                    0.004259                          550.42                       0.23                                 6.023                3.6469                0.0692                  0.33884    03453568+2424344   56.3987     24.409563   0.07           0.06           86.0          15.231   14.665   14.211   0.046    0.063    0.056    AAA   222   0   2451530.7064   0.37277    
  654     J034541.87+242553.2   3323586   0.997908   0.0        8.57E-4    0.0        0           56.42446   24.43144   56.42439669769   24.43151553198   4.165E-4     2.398E-4     85.54       65284469269256704   56.42449682534   0.0189     24.43131680345   0.0122      7.3745     0.0198           371.8735              49.194   20.511   0.026        -44.714   0.015         200                         -1.2023              539.4                 0.098                      11.56                          31                          -9             -9                   15                        0.938    false               689714.0           326.1                    11.090695         340469.0            488.76                    11.508349          498051.0            10.504712          1.216                      1.003637   7.44                  0.57                        8                    5500.0                 4.5                    -9                   -9         -9           573029492   0.002803                0.003196                 0.003924                 11.090695                   0.002803                          689714.0                     -0.001                               0.4156               0.2413                0.0896                  0.342033   03454184+2425534   56.424374   24.431513   0.07           0.06           90.0          9.801    9.528    9.398    0.029    0.034    0.022    AAA   222   0   2451530.7065   0.385381   
  123     J034427.50+241416.9   5152272   0.999556   0.155658   4.4E-5     0.024954   0           56.11458   24.23803   56.11454953389   24.23812966027   0.0016797    0.0012463    72.87       65285633203088768   56.11465917614   0.085      24.23791108151   0.0643      8.0215     0.1013           79.2082               54.081   22.495   0.103        -49.18    0.082         200                         5.8306               359.03                0.351                      4.166                          31                          -9             -9                   14                        1.307    false               3590.14            5.42792                  16.799587         486.048             11.1542                   18.621845          5090.66             15.480961          1.553                      3.140884   -9                    -9                          0                    -9                     -9                     137080561146106168   -9         -9           572028562   0.003207                0.025072                 0.004994                 16.799587                   0.003207                          3590.14                      0.052                                1.6467               1.2897                0.1681                  0.372455   03442749+2414172   56.114549   24.238129   0.08           0.06           90.0          13.543   12.922   12.616   0.028    0.032    0.024    AAA   222   0   2451508.6935   0.370643   
