source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,Gmag,BPmag,RPmag,e_G,e_BP,e_RP,TWOMASS,Jmag,Hmag,Kmag,e_J,e_H,e_K,Qfl,Rfl,X,BPRP_excess
2005649882148603008,331.24700064035,0.0232,55.08044513711,0.0233,7.022,0.0278,55.985,0.032,37.44,0.028,9.219276,9.456834,8.812881,0.002763,0.002805,0.00379,22045919+5504489,8.377,8.125,8.078,0.024,0.023,0.02,AAA,111,0,1.195
2005649843474064768,331.27850188812,0.0087,55.08335154692,0.0083,7.0964,0.0103,55.341,0.011,37.796,0.01,12.377958,12.969177,11.650776,0.002759,0.002814,0.003791,22050674+5504593,10.781,10.206,10.128,0.022,0.028,0.024,AAA,222,0,1.243
2004476359644546816,331.39645675238,0.0248,52.80001929763,0.0245,7.3887,0.0294,58.628,0.03,36.543,0.029,9.142154,9.438355,8.679023,0.00276,0.002817,0.003792,22053505+5247594,8.154,7.928,7.829,0.03,0.036,0.021,AAA,111,0,1.197
1975769932101556864,331.47059468104,0.0199,48.18810407108,0.0196,7.1691,0.0245,56.698,0.027,35.031,0.024,15.331356,16.42377,14.26836,0.002778,0.005571,0.003961,22055284+4811165,12.907,12.332,12.153,0.032,0.043,0.037,AAA,222,0,1.386
2005559859631674496,331.62840891648,0.0226,54.36226546081,0.0222,6.8491,0.027,49.946,0.031,33.397,0.026,15.511057,16.900404,14.347934,0.002875,0.007109,0.004257,22063071+5421436,12.803,12.144,11.942,0.029,0.031,0.025,AAA,222,0,1.43
2004507798806391424,331.98918902538,0.025,53.10031258837,0.0271,6.0966,0.0312,42.855,0.033,27.649,0.034,15.736509,17.112034,14.581953,0.00283,0.005016,0.004222,22075733+5306007,13.077,12.389,12.193,0.026,0.032,0.026,AAA,222,0,1.423
1975394002200294528,332.23673267068,0.0275,46.73404396529,0.0321,18.0936,0.0382,138.593,0.038,83.808,0.04,15.842798,17.78988,14.537378,0.002841,0.007972,0.004126,22085660+4644013,12.609,11.981,11.715,0.019,0.028,0.024,AAA,222,0,1.521
1976738258251413248,332.31201909515,0.0117,49.64019830335,0.0126,7.0124,0.0146,55.297,0.015,34.187,0.014,8.540231,8.865157,8.0466,0.00276,0.002805,0.003788,22091478+4938240,7.496,7.182,7.179,0.021,0.057,0.029,AAA,111,0,1.201
1891978727917684480,332.47626808308,0.0175,26.51884817155,0.0179,18.1255,0.0269,147.265,0.026,64.92,0.023,14.819943,16.33344,13.627394,0.002794,0.003703,0.003857,22095410+2631066,12.028,11.517,11.27,0.019,0.016,0.017,AAA,222,0,1.442
2004189730706664448,332.48560606014,0.0753,52.19676572675,0.0746,6.2988,0.0909,47.643,0.095,31.001,0.085,17.589184,19.410782,16.298769,0.002966,0.025056,0.005396,22095645+5211479,14.382,13.841,13.548,0.037,0.045,0.053,AAA,222,0,1.517
